Date,Open,High,Low,Close,Volume
01/26/2024,"194.27","194.76","191.94","192.42","44,594,008"
01/25/2024,"195.22","196.27","193.11","194.17","54,822,129"
01/24/2024,"195.42","196.38","194.34","194.50","53,631,320"
01/23/2024,"195.02","195.75","193.83","195.18","42,355,594"
01/22/2024,"192.30","195.33","192.26","193.89","60,133,848"
01/19/2024,"189.33","191.95","188.82","191.56","68,902,992"
01/18/2024,"186.09","189.14","185.83","188.63","78,005,750"
01/17/2024,"181.27","182.93","180.30","182.68","47,317,434"
01/16/2024,"182.16","184.26","180.93","183.63","65,603,039"
01/12/2024,"186.06","186.74","185.19","185.92","40,477,781"
01/11/2024,"186.54","187.05","183.62","185.59","49,128,406"
01/10/2024,"184.35","186.40","183.92","186.19","46,792,910"
01/09/2024,"183.92","185.15","182.73","185.14","42,841,809"
01/08/2024,"182.09","185.60","181.50","185.56","59,144,473"
01/05/2024,"181.99","182.76","180.17","181.18","62,379,660"
01/04/2024,"182.15","183.09","180.88","181.91","71,983,570"
01/03/2024,"184.22","185.88","183.43","184.25","58,414,461"
01/02/2024,"187.15","188.44","183.89","185.64","82,488,672"
