Date,Time,Source,Headline,Symbol,Company,Positive,Negative,Neutral
02/15/2024,6:34AM,IH Market News,"Cisco Systems Stock Drops 5% Following Restructuring Plan, Berkshire Trims Apple Stake, and Latest News",NASDAQ:AAPL,Apple Inc,0.012263471260666847,0.9106765985488892,0.07705988734960556
02/05/2024,9:00AM,Business Wire,"USHER’s Road to Halftime on Apple Music lets fans listen, watch, dance, and sing their way to Super Bowl LVIII",NASDAQ:AAPL,Apple Inc,0.06472337245941162,0.016324711963534355,0.9189519882202148
02/02/2024,8:47AM,IH Market News,"Apple Beats Q1 Revenue and Earnings Estimates Amid China Sales Drop, Shares Dip 3% in Early Trading",NASDAQ:AAPL,Apple Inc,0.03766154497861862,0.9503611922264099,0.011977381072938442
02/01/2024,4:30PM,Business Wire,Apple reports first quarter results,NASDAQ:AAPL,Apple Inc,0.03691999614238739,0.0677194595336914,0.89536052942276
01/25/2024,1:55PM,Dow Jones News,"Apple Issues Changes to Operating System, App Store to Comply With EU Law",NASDAQ:AAPL,Apple Inc,0.04288177564740181,0.04443761333823204,0.9126806259155273
01/25/2024,1:00PM,Business Wire,"Apple announces changes to iOS, Safari, and the App Store in the European Union",NASDAQ:AAPL,Apple Inc,0.045935485512018204,0.03939015418291092,0.9146743416786194
01/25/2024,6:30AM,Dow Jones News,Apple's Smartphone Shipments in China Fell in Fourth Quarter,NASDAQ:AAPL,Apple Inc,0.006360640283674002,0.9748992323875427,0.018740126863121986
01/23/2024,1:49PM,Business Wire,"Apple scores record 13 Academy Award nominations, as culture-moving feature “Killers of the Flower Moon” lands 10 historic nominations for Best Picture, Best Actress for Lily Gladstone and Best Director for Martin Scorsese",NASDAQ:AAPL,Apple Inc,0.7283116579055786,0.04736603796482086,0.22432228922843933
01/23/2024,12:08PM,Dow Jones News,"Apple Seeks Dismissal of UK Suit Over App Store Fees, Reuters Reports",NASDAQ:AAPL,Apple Inc,0.015530450269579887,0.9393903017044067,0.045079294592142105
01/19/2024,8:05AM,Dow Jones News,Apple Offers to Open Mobile Payments to Third Parties Amid EU Antitrust Case -- 2nd Update,NASDAQ:AAPL,Apple Inc,0.30259373784065247,0.13407361507415771,0.5633326768875122
01/19/2024,7:23AM,Dow Jones News,Apple Offers to Open Mobile Payments to Third Parties Amid EU Antitrust Case -- Update,NASDAQ:AAPL,Apple Inc,0.21625706553459167,0.24981480836868286,0.5339280962944031
01/19/2024,6:39AM,Dow Jones News,Apple Commits to Address EU Antitrust Concerns Over Apple Pay,NASDAQ:AAPL,Apple Inc,0.8238393068313599,0.017203951254487038,0.15895672142505646
01/18/2024,11:31AM,Dow Jones News,Apple on Pace for Largest Percent Increase Since May 2023 -- Data Talk,NASDAQ:AAPL,Apple Inc,0.5929298400878906,0.02548932284116745,0.38158079981803894
01/17/2024,7:00PM,Business Wire,"Apple Hongdae to welcome its first customers this Saturday, January 20, in South Korea",NASDAQ:AAPL,Apple Inc,0.509344756603241,0.010214217938482761,0.48044103384017944
01/17/2024,3:40PM,Dow Jones News,"Apple Barred From Selling Watches With Blood-Oxygen Sensors in U.S., CNBC Reports",NASDAQ:AAPL,Apple Inc,0.05966693535447121,0.310547798871994,0.6297851800918579
