Date,Time,Source,Headline,Symbol,Company
02/16/2024,6:08AM,IH Market News,"Nike Workforce Reduction, The Trade Desk Soars 19% on $606 Million Revenue, and Latest News",NASDAQ:AAPL,Apple Inc
02/15/2024,6:34AM,IH Market News,"Cisco Systems Stock Drops 5% Following Restructuring Plan, Berkshire Trims Apple Stake, and Latest News",NASDAQ:AAPL,Apple Inc
02/14/2024,4:47PM,Edgar (US Regulatory),Form SC 13G/A - Statement of acquisition of beneficial ownership by individuals: [Amend],NASDAQ:AAPL,Apple Inc
02/12/2024,4:17PM,Edgar (US Regulatory),Form SC 13G/A - Statement of acquisition of beneficial ownership by individuals: [Amend],NASDAQ:AAPL,Apple Inc
02/09/2024,4:26PM,Edgar (US Regulatory),Form PX14A6G - Notice of exempt solicitation submitted by non-management,NASDAQ:AAPL,Apple Inc
02/08/2024,6:10AM,IH Market News,"Arm Achieves Record Revenue, PayPal Shares Plummet by More Than 9%, and Latest Updates",NASDAQ:AAPL,Apple Inc
02/07/2024,5:49AM,IH Market News,"Moody’s Downgrades NYCB to Junk Status, Ford Declares Special Dividend, and Other Market Updates",NASDAQ:AAPL,Apple Inc
02/05/2024,6:37PM,Edgar (US Regulatory),Form 4 - Statement of changes in beneficial ownership of securities,NASDAQ:AAPL,Apple Inc
02/05/2024,6:36PM,Edgar (US Regulatory),Form 4 - Statement of changes in beneficial ownership of securities,NASDAQ:AAPL,Apple Inc
02/05/2024,6:35PM,Edgar (US Regulatory),Form 4 - Statement of changes in beneficial ownership of securities,NASDAQ:AAPL,Apple Inc
02/05/2024,6:34PM,Edgar (US Regulatory),Form 4 - Statement of changes in beneficial ownership of securities,NASDAQ:AAPL,Apple Inc
02/05/2024,6:34PM,Edgar (US Regulatory),Form 4 - Statement of changes in beneficial ownership of securities,NASDAQ:AAPL,Apple Inc
02/05/2024,6:32PM,Edgar (US Regulatory),Form 4 - Statement of changes in beneficial ownership of securities,NASDAQ:AAPL,Apple Inc
02/05/2024,6:32PM,Edgar (US Regulatory),Form 4 - Statement of changes in beneficial ownership of securities,NASDAQ:AAPL,Apple Inc
02/05/2024,6:31PM,Edgar (US Regulatory),Form 4 - Statement of changes in beneficial ownership of securities,NASDAQ:AAPL,Apple Inc
